#####################################################################
# Alchemist log file - simulation started at: 2023-11-22T11:12+0000 #
#####################################################################
#
# random = 2.0, devices = 1000, computationalCost = 3.0, load = 1, network = barabasi, behavior = advanced
#
# The columns have the following meaning: 
# time canOffload[sum] wantToOffload[sum] qos effectiveLoad[mean] effectiveLoad[max] effectiveLoad[min] load[mean] latency[mean] latency[max] latency[min] 
0.0000 0.0 0.0 NaN NaN NaN NaN NaN NaN NaN NaN
0.0000 0.0 0.0 NaN NaN NaN NaN NaN NaN NaN NaN
10.000 146.0 950.0 0.15368 91.41739363886572 99.95861333887389 80.74036807180218 80.91739363886572 3.087101785141735 18.909892440279588 1.256630736723069
20.000 155.0 950.0 0.16316 89.79739363886571 99.93051529337207 76.22730339223206 80.91739363886572 3.3304812881069683 30.920254817265374 1.151819459748808
30.001 154.0 950.0 0.16211 89.73739363886571 99.93051529337207 76.22730339223206 80.91739363886572 3.661643143525547 31.737953986047653 1.151819459748808
40.000 149.0 950.0 0.15684 89.73739363886571 99.93051529337207 76.22730339223206 80.91739363886572 2.8393521152765246 38.53661226718272 1.151819459748808
50.000 149.0 950.0 0.15684 89.73739363886571 99.93051529337207 76.22730339223206 80.91739363886572 2.864899459762827 37.71042834276652 1.151819459748808
60.000 151.0 950.0 0.15895 90.21739363886572 99.95861333887389 78.43748715022404 80.91739363886572 2.718296788899576 47.49057800118789 1.151819459748808
70.001 154.0 950.0 0.16211 92.1973936388657 99.95861333887389 81.53733493012314 80.91739363886572 3.4519610210114338 54.00258427354372 1.256630736723069
80.000 169.0 950.0 0.17789 94.53739363886571 99.95861333887389 82.76368961236159 80.91739363886572 3.4711441852643734 11.086280895789445 1.256630736723069
90.000 220.0 950.0 0.23158 94.89739363886571 99.95861333887389 85.30450667489372 80.91739363886572 4.148032960829513 12.576011709401135 1.256630736723069
100.00 232.0 950.0 0.24421 94.89739363886571 99.95861333887389 85.30450667489372 80.91739363886572 4.438502762859268 14.327556861394216 1.256630736723069
110.00 233.0 950.0 0.24526 94.89739363886571 99.95861333887389 85.30450667489372 80.91739363886572 4.523172387644727 15.157254058637035 1.256630736723069
