#####################################################################
# Alchemist log file - simulation started at: 2023-11-22T11:22+0000 #
#####################################################################
#
# random = 4.0, devices = 1000, computationalCost = 10.0, load = 0, network = barabasi, behavior = advanced
#
# The columns have the following meaning: 
# time canOffload[sum] wantToOffload[sum] qos effectiveLoad[mean] effectiveLoad[max] effectiveLoad[min] load[mean] latency[mean] latency[max] latency[min] 
0.0000 0.0 0.0 NaN NaN NaN NaN NaN NaN NaN NaN
0.0000 0.0 0.0 NaN NaN NaN NaN NaN NaN NaN NaN
10.000 63.0 950.0 0.066316 92.6 95.0 75.0 75.0 3.8425070706932716 17.904160615603974 1.282078580835749
20.000 74.0 950.0 0.077895 93.4 95.0 75.0 75.0 3.7749841402906603 20.29975842152498 0.9918462702135541
30.000 61.0 950.0 0.064211 95.0 95.0 95.0 75.0 3.8688520073539108 21.690752674822978 1.296980348873217
40.000 77.0 950.0 0.081053 95.0 95.0 95.0 75.0 3.660200920467704 8.559567663755402 1.296980348873217
50.000 78.0 950.0 0.082105 95.0 95.0 95.0 75.0 3.850808794525209 9.772427171277002 1.296980348873217
60.000 78.0 950.0 0.082105 95.0 95.0 95.0 75.0 3.850808794525209 9.772427171277002 1.296980348873217
70.000 78.0 950.0 0.082105 95.0 95.0 95.0 75.0 3.850808794525209 9.772427171277002 1.296980348873217
80.002 75.0 950.0 0.078947 95.0 95.0 95.0 75.0 3.830170955483814 9.772427171277002 1.296980348873217
90.001 75.0 950.0 0.078947 95.0 95.0 95.0 75.0 3.830170955483814 9.772427171277002 1.296980348873217
100.00 75.0 950.0 0.078947 95.0 95.0 95.0 75.0 3.830170955483814 9.772427171277002 1.296980348873217
110.00 74.0 950.0 0.077895 95.0 95.0 95.0 75.0 3.8558702797905053 9.772427171277002 1.296980348873217
120.00 74.0 950.0 0.077895 95.0 95.0 95.0 75.0 3.8878520665674405 9.772427171277002 1.296980348873217
130.00 74.0 950.0 0.077895 95.0 95.0 95.0 75.0 3.8878520665674405 9.772427171277002 1.296980348873217
140.00 74.0 950.0 0.077895 95.0 95.0 95.0 75.0 3.8878520665674405 9.772427171277002 1.296980348873217
150.00 72.0 950.0 0.075789 95.0 95.0 95.0 75.0 3.900007512567588 9.772427171277002 1.296980348873217
