#####################################################################
# Alchemist log file - simulation started at: 2023-11-22T11:11+0000 #
#####################################################################
#
# random = 0.0, devices = 1000, computationalCost = 10.0, load = 0, network = lobster, behavior = advanced
#
# The columns have the following meaning: 
# time canOffload[sum] wantToOffload[sum] qos effectiveLoad[mean] effectiveLoad[max] effectiveLoad[min] load[mean] latency[mean] latency[max] latency[min] 
0.0000 0.0 0.0 NaN NaN NaN NaN NaN NaN NaN NaN
0.0000 0.0 0.0 NaN NaN NaN NaN NaN NaN NaN NaN
10.000 91.0 950.0 0.095789 95.0 95.0 95.0 75.0 1.6552131831062322 6.979978123607385 1.0265791833632854
20.000 96.0 950.0 0.10105 95.0 95.0 95.0 75.0 2.1455390453709717 8.29395190830913 1.0339022900898363
30.001 99.0 950.0 0.10421 95.0 95.0 95.0 75.0 2.261582551112987 11.480857505974296 1.0567406670116397
40.001 99.0 950.0 0.10421 95.0 95.0 95.0 75.0 2.261582551112987 11.480857505974296 1.0567406670116397
50.001 97.0 950.0 0.10211 95.0 95.0 95.0 75.0 2.2847734452392237 11.480857505974296 1.0567406670116397
60.000 97.0 950.0 0.10211 95.0 95.0 95.0 75.0 2.2847734452392237 11.480857505974296 1.0567406670116397
70.000 97.0 950.0 0.10211 95.0 95.0 95.0 75.0 2.2847734452392237 11.480857505974296 1.0567406670116397
80.000 97.0 950.0 0.10211 95.0 95.0 95.0 75.0 2.3760198481575316 11.480857505974296 1.0567406670116397
90.001 97.0 950.0 0.10211 95.0 95.0 95.0 75.0 2.535047586792592 15.124453664264072 1.0567406670116397
100.00 97.0 950.0 0.10211 95.0 95.0 95.0 75.0 2.6484521239684984 21.572470733225245 1.0567406670116397
110.00 93.0 950.0 0.097895 95.0 95.0 95.0 75.0 2.319389931770602 11.480857505974296 1.0567406670116397
120.00 93.0 950.0 0.097895 95.0 95.0 95.0 75.0 2.319389931770602 11.480857505974296 1.0567406670116397
130.00 93.0 950.0 0.097895 95.0 95.0 95.0 75.0 2.319389931770602 11.480857505974296 1.0567406670116397
140.00 93.0 950.0 0.097895 95.0 95.0 95.0 75.0 2.319389931770602 11.480857505974296 1.0567406670116397
