#####################################################################
# Alchemist log file - simulation started at: 2023-11-22T11:12+0000 #
#####################################################################
#
# random = 1.0, devices = 1000, computationalCost = 3.0, load = 0, network = lobster, behavior = simple
#
# The columns have the following meaning: 
# time canOffload[sum] wantToOffload[sum] qos effectiveLoad[mean] effectiveLoad[max] effectiveLoad[min] load[mean] latency[mean] latency[max] latency[min] 
0.0000 0.0 0.0 NaN NaN NaN NaN NaN NaN NaN NaN
0.0000 0.0 0.0 NaN NaN NaN NaN NaN NaN NaN NaN
10.002 270.0 950.0 0.28421 97.98 99.0 90.0 75.0 1.7899230460838655 6.028575684191766 1.0243209093047418
20.001 319.0 950.0 0.33579 98.4 99.0 90.0 75.0 2.5497282617600106 8.696420091251234 1.0260254036929264
30.000 335.0 950.0 0.35263 98.4 99.0 90.0 75.0 2.68597830470364 8.89368840114291 1.0260254036929264
40.000 335.0 950.0 0.35263 98.4 99.0 90.0 75.0 2.7436210214171797 10.022915380080514 1.0260254036929264
50.001 335.0 950.0 0.35263 98.4 99.0 90.0 75.0 2.864778379860853 10.406636949616221 1.0260254036929264
60.001 334.0 950.0 0.35158 98.4 99.0 90.0 75.0 2.949599961847606 15.199730165477174 1.0260254036929264
70.001 328.0 950.0 0.34526 98.4 99.0 90.0 75.0 2.7649307765518296 16.352864682504585 1.0260254036929264
80.001 326.0 950.0 0.34316 98.4 99.0 90.0 75.0 2.727973184371864 10.022915380080514 1.0260254036929264
90.000 327.0 950.0 0.34421 98.4 99.0 90.0 75.0 2.726350439047673 10.022915380080514 1.0260254036929264
100.00 327.0 950.0 0.34421 98.4 99.0 90.0 75.0 2.726350439047673 10.022915380080514 1.0260254036929264
110.00 324.0 950.0 0.34105 98.4 99.0 90.0 75.0 2.740178351714585 10.022915380080514 1.0260254036929264
120.00 326.0 950.0 0.34316 98.34 99.0 90.0 75.0 2.730919599542529 10.022915380080514 1.0260254036929264
130.00 326.0 950.0 0.34316 98.34 99.0 90.0 75.0 2.730919599542529 10.022915380080514 1.0260254036929264
140.00 326.0 950.0 0.34316 98.34 99.0 90.0 75.0 2.730919599542529 10.022915380080514 1.0260254036929264
