#####################################################################
# Alchemist log file - simulation started at: 2023-11-22T11:31+0000 #
#####################################################################
#
# random = 4.0, devices = 1000, computationalCost = 3.0, load = 0, network = lobster, behavior = simple
#
# The columns have the following meaning: 
# time canOffload[sum] wantToOffload[sum] qos effectiveLoad[mean] effectiveLoad[max] effectiveLoad[min] load[mean] latency[mean] latency[max] latency[min] 
0.0000 0.0 0.0 NaN NaN NaN NaN NaN NaN NaN NaN
0.0000 0.0 0.0 NaN NaN NaN NaN NaN NaN NaN NaN
10.000 258.0 950.0 0.27158 98.4 99.0 90.0 75.0 1.8454978950520997 6.582137345285301 1.0151989917395368
20.000 319.0 950.0 0.33579 98.52 99.0 90.0 75.0 2.674810120676412 8.026171048685477 1.0151989917395368
30.000 331.0 950.0 0.34842 98.52 99.0 90.0 75.0 2.8086617270299397 7.44306833004216 1.0151989917395368
40.000 328.0 950.0 0.34526 98.52 99.0 90.0 75.0 2.845950742204455 7.44306833004216 1.0151989917395368
50.000 329.0 950.0 0.34632 98.52 99.0 90.0 75.0 2.9672634479072264 14.482370709475411 1.0151989917395368
60.000 327.0 950.0 0.34421 98.52 99.0 90.0 75.0 3.0102709400321355 18.25272522426398 1.0151989917395368
70.000 326.0 950.0 0.34316 98.52 99.0 90.0 75.0 2.999300825767421 18.307046878214898 1.0151989917395368
80.002 316.0 950.0 0.33263 98.52 99.0 90.0 75.0 2.9202153896623155 19.724178437630012 1.0151989917395368
90.001 314.0 950.0 0.33053 98.52 99.0 90.0 75.0 2.8151933632490396 14.482370709475411 1.0151989917395368
100.00 314.0 950.0 0.33053 98.52 99.0 90.0 75.0 2.8151933632490396 14.482370709475411 1.0151989917395368
110.00 311.0 950.0 0.32737 98.52 99.0 90.0 75.0 2.844623327855096 14.482370709475411 1.0151989917395368
120.00 308.0 950.0 0.32421 98.52 99.0 90.0 75.0 2.8735673771136225 14.482370709475411 1.0151989917395368
130.00 306.0 950.0 0.32211 98.52 99.0 90.0 75.0 2.879957111252623 14.482370709475411 1.0151989917395368
140.00 306.0 950.0 0.32211 98.52 99.0 90.0 75.0 2.879957111252623 14.482370709475411 1.0151989917395368
