#####################################################################
# Alchemist log file - simulation started at: 2023-11-22T11:12+0000 #
#####################################################################
#
# random = 2.0, devices = 1000, computationalCost = 1.0, load = 0, network = barabasi, behavior = simple
#
# The columns have the following meaning: 
# time canOffload[sum] wantToOffload[sum] qos effectiveLoad[mean] effectiveLoad[max] effectiveLoad[min] load[mean] latency[mean] latency[max] latency[min] 
0.0000 0.0 0.0 NaN NaN NaN NaN NaN NaN NaN NaN
0.0000 0.0 0.0 NaN NaN NaN NaN NaN NaN NaN NaN
10.000 527.0 950.0 0.55474 97.76 100.0 80.0 75.0 2.900245084647886 7.2185405299042085 0.7702598866896134
20.000 572.0 950.0 0.60211 98.18 100.0 80.0 75.0 3.4488642479176366 8.880007229027001 0.7702598866896134
30.001 575.0 950.0 0.60526 98.18 100.0 80.0 75.0 3.4911588899908748 10.376958525068467 0.7702598866896134
40.000 573.0 950.0 0.60316 98.18 100.0 80.0 75.0 3.5088751972478027 10.376958525068467 0.7702598866896134
50.000 557.0 950.0 0.58632 98.2 100.0 80.0 75.0 3.4727414167385993 10.376958525068467 0.7702598866896134
60.000 557.0 950.0 0.58632 98.2 100.0 80.0 75.0 3.4727414167385993 10.376958525068467 0.7702598866896134
70.001 557.0 950.0 0.58632 98.2 100.0 80.0 75.0 3.4727414167385993 10.376958525068467 0.7702598866896134
80.000 548.0 950.0 0.57684 98.22 100.0 80.0 75.0 3.463412780478668 10.376958525068467 0.7702598866896134
90.000 544.0 950.0 0.57263 98.22 100.0 80.0 75.0 3.4839368947324156 10.376958525068467 0.7702598866896134
100.00 546.0 950.0 0.57474 98.22 100.0 80.0 75.0 3.4947169307841253 10.376958525068467 0.7702598866896134
110.00 546.0 950.0 0.57474 98.22 100.0 80.0 75.0 3.4947169307841253 10.376958525068467 0.7702598866896134
120.00 528.0 950.0 0.55579 98.26 100.0 80.0 75.0 3.525866232538589 10.376958525068467 0.7702598866896134
130.00 530.0 950.0 0.55789 98.26 100.0 80.0 75.0 3.5644124329898137 10.376958525068467 0.7702598866896134
140.00 530.0 950.0 0.55789 98.26 100.0 80.0 75.0 3.5644124329898137 10.376958525068467 0.7702598866896134
