#####################################################################
# Alchemist log file - simulation started at: 2023-11-22T11:18+0000 #
#####################################################################
#
# random = 3.0, devices = 1000, computationalCost = 3.0, load = 0, network = barabasi, behavior = simple
#
# The columns have the following meaning: 
# time canOffload[sum] wantToOffload[sum] qos effectiveLoad[mean] effectiveLoad[max] effectiveLoad[min] load[mean] latency[mean] latency[max] latency[min] 
0.0000 0.0 0.0 NaN NaN NaN NaN NaN NaN NaN NaN
0.0000 0.0 0.0 NaN NaN NaN NaN NaN NaN NaN NaN
10.000 197.0 950.0 0.20737 98.76 99.0 87.0 75.0 2.9800583596295196 7.783305105950207 1.0623700911585707
20.000 201.0 950.0 0.21158 98.76 99.0 87.0 75.0 3.512672836077918 7.746373953855253 1.081889346827517
30.001 203.0 950.0 0.21368 98.76 99.0 87.0 75.0 3.5550548982646197 7.746373953855253 1.081889346827517
40.000 203.0 950.0 0.21368 98.82 99.0 90.0 75.0 3.5550964160033285 7.746373953855253 1.081889346827517
50.000 197.0 950.0 0.20737 98.82 99.0 90.0 75.0 3.544961393386412 7.746373953855253 1.081889346827517
60.000 197.0 950.0 0.20737 98.82 99.0 90.0 75.0 3.544961393386412 7.746373953855253 1.081889346827517
70.002 197.0 950.0 0.20737 98.82 99.0 90.0 75.0 3.544961393386412 7.746373953855253 1.081889346827517
80.000 193.0 950.0 0.20316 98.82 99.0 90.0 75.0 3.560973877738147 7.746373953855253 1.081889346827517
90.000 195.0 950.0 0.20526 98.82 99.0 90.0 75.0 3.562752768469353 7.746373953855253 1.081889346827517
100.00 195.0 950.0 0.20526 98.82 99.0 90.0 75.0 3.562752768469353 7.746373953855253 1.081889346827517
110.00 195.0 950.0 0.20526 98.82 99.0 90.0 75.0 3.562752768469353 7.746373953855253 1.081889346827517
120.00 188.0 950.0 0.19789 98.82 99.0 90.0 75.0 3.584475727361781 7.746373953855253 1.081889346827517
130.00 188.0 950.0 0.19789 98.82 99.0 90.0 75.0 3.5870988858495716 7.746373953855253 1.081889346827517
140.00 188.0 950.0 0.19789 98.82 99.0 90.0 75.0 3.5870988858495716 7.746373953855253 1.081889346827517
150.00 181.0 950.0 0.19053 98.82 99.0 90.0 75.0 3.575946769725814 7.746373953855253 1.081889346827517
