#####################################################################
# Alchemist log file - simulation started at: 2023-11-22T11:35+0000 #
#####################################################################
#
# random = 5.0, devices = 1000, computationalCost = 10.0, load = 0, network = barabasi, behavior = advanced
#
# The columns have the following meaning: 
# time canOffload[sum] wantToOffload[sum] qos effectiveLoad[mean] effectiveLoad[max] effectiveLoad[min] load[mean] latency[mean] latency[max] latency[min] 
0.0000 0.0 0.0 NaN NaN NaN NaN NaN NaN NaN NaN
0.0000 0.0 0.0 NaN NaN NaN NaN NaN NaN NaN NaN
10.000 65.0 950.0 0.068421 94.8 95.0 85.0 75.0 3.0024176360638895 14.562416339586074 1.1048390963882129
20.001 82.0 950.0 0.086316 94.4 95.0 85.0 75.0 3.428025569905783 18.925408777791887 0.9857896233169572
30.000 71.0 950.0 0.074737 94.8 95.0 85.0 75.0 3.484072988920822 22.600007301509798 1.038090090162121
40.001 77.0 950.0 0.081053 94.8 95.0 85.0 75.0 3.319964963154437 8.053374854381081 1.038090090162121
50.000 78.0 950.0 0.082105 94.8 95.0 85.0 75.0 3.336928717717046 8.053374854381081 1.038090090162121
60.000 78.0 950.0 0.082105 94.8 95.0 85.0 75.0 3.336928717717046 8.053374854381081 1.038090090162121
70.001 78.0 950.0 0.082105 94.8 95.0 85.0 75.0 3.336928717717046 8.053374854381081 1.038090090162121
80.001 79.0 950.0 0.083158 94.8 95.0 85.0 75.0 3.3633570990517097 8.053374854381081 1.038090090162121
90.000 79.0 950.0 0.083158 94.8 95.0 85.0 75.0 3.3633570990517097 8.053374854381081 1.038090090162121
100.00 79.0 950.0 0.083158 94.8 95.0 85.0 75.0 3.3633570990517097 8.053374854381081 1.038090090162121
110.00 79.0 950.0 0.083158 94.8 95.0 85.0 75.0 3.381451609099687 8.053374854381081 1.038090090162121
120.00 78.0 950.0 0.082105 94.8 95.0 85.0 75.0 3.3932825877844817 8.053374854381081 1.038090090162121
130.00 78.0 950.0 0.082105 94.8 95.0 85.0 75.0 3.3932825877844817 8.053374854381081 1.038090090162121
140.00 78.0 950.0 0.082105 94.8 95.0 85.0 75.0 3.3932825877844817 8.053374854381081 1.038090090162121
150.00 76.0 950.0 0.080000 94.8 95.0 85.0 75.0 3.4197694864440353 8.053374854381081 1.038090090162121
