#####################################################################
# Alchemist log file - simulation started at: 2023-11-22T11:18+0000 #
#####################################################################
#
# random = 3.0, devices = 1000, computationalCost = 10.0, load = 1, network = barabasi, behavior = simple
#
# The columns have the following meaning: 
# time canOffload[sum] wantToOffload[sum] qos effectiveLoad[mean] effectiveLoad[max] effectiveLoad[min] load[mean] latency[mean] latency[max] latency[min] 
0.0000 0.0 0.0 NaN NaN NaN NaN NaN NaN NaN NaN
0.0000 0.0 0.0 NaN NaN NaN NaN NaN NaN NaN NaN
10.000 37.0 950.0 0.038947 94.5699813795446 99.92065872374108 90.29326931838557 80.5699813795446 2.919015663957111 6.748186379858257 1.0623700911585707
20.000 36.0 950.0 0.037895 94.5699813795446 99.92065872374108 90.29326931838557 80.5699813795446 3.5546491082662945 6.748186379858257 1.1950875555255263
30.001 35.0 950.0 0.036842 94.5699813795446 99.92065872374108 90.29326931838557 80.5699813795446 3.5538484299214375 6.748186379858257 1.1950875555255263
40.000 36.0 950.0 0.037895 94.5699813795446 99.92065872374108 90.29326931838557 80.5699813795446 3.6380125436820854 6.748186379858257 1.1950875555255263
50.000 36.0 950.0 0.037895 94.5699813795446 99.92065872374108 90.29326931838557 80.5699813795446 3.6380125436820854 6.748186379858257 1.1950875555255263
60.000 36.0 950.0 0.037895 94.5699813795446 99.92065872374108 90.29326931838557 80.5699813795446 3.6380125436820854 6.748186379858257 1.1950875555255263
70.000 36.0 950.0 0.037895 94.5699813795446 99.92065872374108 90.29326931838557 80.5699813795446 3.6380125436820854 6.748186379858257 1.1950875555255263
80.000 36.0 950.0 0.037895 94.5699813795446 99.92065872374108 90.29326931838557 80.5699813795446 3.6380125436820854 6.748186379858257 1.1950875555255263
90.001 36.0 950.0 0.037895 94.5699813795446 99.92065872374108 90.29326931838557 80.5699813795446 3.6380125436820854 6.748186379858257 1.1950875555255263
100.00 36.0 950.0 0.037895 94.5699813795446 99.92065872374108 90.29326931838557 80.5699813795446 3.6380125436820854 6.748186379858257 1.1950875555255263
110.00 36.0 950.0 0.037895 94.5699813795446 99.92065872374108 90.29326931838557 80.5699813795446 3.6380125436820854 6.748186379858257 1.1950875555255263
