#####################################################################
# Alchemist log file - simulation started at: 2023-11-22T11:10+0000 #
#####################################################################
#
# random = 1.0, devices = 1000, computationalCost = 3.0, load = 0, network = barabasi, behavior = simple
#
# The columns have the following meaning: 
# time canOffload[sum] wantToOffload[sum] qos effectiveLoad[mean] effectiveLoad[max] effectiveLoad[min] load[mean] latency[mean] latency[max] latency[min] 
0.0000 0.0 0.0 NaN NaN NaN NaN NaN NaN NaN NaN
0.0000 0.0 0.0 NaN NaN NaN NaN NaN NaN NaN NaN
10.002 207.0 950.0 0.21789 98.64 99.0 87.0 75.0 2.926771610785506 7.215749021081498 0.6856071252611442
20.001 203.0 950.0 0.21368 98.64 99.0 87.0 75.0 3.50478495345786 8.902156309880793 0.8275672746313815
30.000 211.0 950.0 0.22211 98.64 99.0 87.0 75.0 3.5941090987443176 8.915122313781117 0.8275672746313815
40.000 213.0 950.0 0.22421 98.64 99.0 87.0 75.0 3.5675440491080943 8.915122313781117 0.8275672746313815
50.001 212.0 950.0 0.22316 98.64 99.0 87.0 75.0 3.5598113951330976 8.915122313781117 0.8275672746313815
60.001 213.0 950.0 0.22421 98.64 99.0 87.0 75.0 3.5982307594308462 8.915122313781117 0.8275672746313815
70.001 213.0 950.0 0.22421 98.64 99.0 87.0 75.0 3.5982307594308462 8.915122313781117 0.8275672746313815
80.001 215.0 950.0 0.22632 98.64 99.0 87.0 75.0 3.570638548339742 8.915122313781117 0.8275672746313815
90.000 213.0 950.0 0.22421 98.64 99.0 87.0 75.0 3.5464577764183414 8.915122313781117 0.8275672746313815
100.00 212.0 950.0 0.22316 98.64 99.0 87.0 75.0 3.5281008475820155 8.915122313781117 0.8275672746313815
110.00 212.0 950.0 0.22316 98.64 99.0 87.0 75.0 3.5281008475820155 8.915122313781117 0.8275672746313815
120.00 219.0 950.0 0.23053 98.64 99.0 87.0 75.0 3.5348337219993096 8.915122313781117 0.8275672746313815
130.00 218.0 950.0 0.22947 98.64 99.0 87.0 75.0 3.531296510946149 8.915122313781117 0.8275672746313815
140.00 218.0 950.0 0.22947 98.64 99.0 87.0 75.0 3.531296510946149 8.915122313781117 0.8275672746313815
