#####################################################################
# Alchemist log file - simulation started at: 2023-11-22T11:12+0000 #
#####################################################################
#
# random = 2.0, devices = 1000, computationalCost = 10.0, load = 0, network = barabasi, behavior = simple
#
# The columns have the following meaning: 
# time canOffload[sum] wantToOffload[sum] qos effectiveLoad[mean] effectiveLoad[max] effectiveLoad[min] load[mean] latency[mean] latency[max] latency[min] 
0.0000 0.0 0.0 NaN NaN NaN NaN NaN NaN NaN NaN
0.0000 0.0 0.0 NaN NaN NaN NaN NaN NaN NaN NaN
10.000 53.0 950.0 0.055789 95.0 95.0 95.0 75.0 2.8785161711827563 7.059404311811308 1.2650436255091995
20.000 53.0 950.0 0.055789 95.0 95.0 95.0 75.0 3.4576265230716596 7.855028650876864 1.2650436255091995
30.001 55.0 950.0 0.057895 95.0 95.0 95.0 75.0 3.5758803406625925 8.810335270845798 1.2650436255091995
40.000 55.0 950.0 0.057895 95.0 95.0 95.0 75.0 3.5758803406625925 8.810335270845798 1.2650436255091995
50.000 53.0 950.0 0.055789 95.0 95.0 95.0 75.0 3.6340271969831814 8.810335270845798 1.2650436255091995
60.000 53.0 950.0 0.055789 95.0 95.0 95.0 75.0 3.6340271969831814 8.810335270845798 1.2650436255091995
70.001 53.0 950.0 0.055789 95.0 95.0 95.0 75.0 3.6340271969831814 8.810335270845798 1.2650436255091995
80.000 51.0 950.0 0.053684 95.0 95.0 95.0 75.0 3.6743509653478834 8.810335270845798 1.2650436255091995
90.000 52.0 950.0 0.054737 95.0 95.0 95.0 75.0 3.824956296959599 8.810335270845798 1.2650436255091995
100.00 52.0 950.0 0.054737 95.0 95.0 95.0 75.0 3.824956296959599 8.810335270845798 1.2650436255091995
110.00 52.0 950.0 0.054737 95.0 95.0 95.0 75.0 3.824956296959599 8.810335270845798 1.2650436255091995
120.00 51.0 950.0 0.053684 95.0 95.0 95.0 75.0 3.799944590200853 8.810335270845798 1.2650436255091995
130.00 51.0 950.0 0.053684 95.0 95.0 95.0 75.0 3.781661600032051 8.810335270845798 1.2650436255091995
140.00 51.0 950.0 0.053684 95.0 95.0 95.0 75.0 3.781661600032051 8.810335270845798 1.2650436255091995
