#####################################################################
# Alchemist log file - simulation started at: 2023-11-22T11:20+0000 #
#####################################################################
#
# random = 3.0, devices = 1000, computationalCost = 10.0, load = 1, network = lobster, behavior = simple
#
# The columns have the following meaning: 
# time canOffload[sum] wantToOffload[sum] qos effectiveLoad[mean] effectiveLoad[max] effectiveLoad[min] load[mean] latency[mean] latency[max] latency[min] 
0.0000 0.0 0.0 NaN NaN NaN NaN NaN NaN NaN NaN
0.0000 0.0 0.0 NaN NaN NaN NaN NaN NaN NaN NaN
10.000 58.0 950.0 0.061053 94.89681806911892 99.96189444548352 90.10087816218419 79.69681806911892 1.6544690271443903 4.175452886053253 1.0220937063857374
20.000 61.0 950.0 0.064211 94.89681806911892 99.96189444548352 90.10087816218419 79.69681806911892 2.416103190647885 8.24084476941504 1.0220937063857374
30.000 64.0 950.0 0.067368 94.89681806911892 99.96189444548352 90.10087816218419 79.69681806911892 2.703677215115955 8.887616767228037 1.0220937063857374
40.000 64.0 950.0 0.067368 94.89681806911892 99.96189444548352 90.10087816218419 79.69681806911892 2.703677215115955 8.887616767228037 1.0220937063857374
50.001 64.0 950.0 0.067368 94.89681806911892 99.96189444548352 90.10087816218419 79.69681806911892 2.703677215115955 8.887616767228037 1.0220937063857374
60.001 64.0 950.0 0.067368 94.89681806911892 99.96189444548352 90.10087816218419 79.69681806911892 2.703677215115955 8.887616767228037 1.0220937063857374
70.000 64.0 950.0 0.067368 94.89681806911892 99.96189444548352 90.10087816218419 79.69681806911892 2.703677215115955 8.887616767228037 1.0220937063857374
80.001 64.0 950.0 0.067368 94.89681806911892 99.96189444548352 90.10087816218419 79.69681806911892 2.703677215115955 8.887616767228037 1.0220937063857374
90.000 64.0 950.0 0.067368 94.89681806911892 99.96189444548352 90.10087816218419 79.69681806911892 2.703677215115955 8.887616767228037 1.0220937063857374
100.00 64.0 950.0 0.067368 94.89681806911892 99.96189444548352 90.10087816218419 79.69681806911892 2.703677215115955 8.887616767228037 1.0220937063857374
110.00 64.0 950.0 0.067368 94.89681806911892 99.96189444548352 90.10087816218419 79.69681806911892 2.703677215115955 8.887616767228037 1.0220937063857374
