#####################################################################
# Alchemist log file - simulation started at: 2023-11-22T11:17+0000 #
#####################################################################
#
# random = 3.0, devices = 1000, computationalCost = 3.0, load = 0, network = barabasi, behavior = advanced
#
# The columns have the following meaning: 
# time canOffload[sum] wantToOffload[sum] qos effectiveLoad[mean] effectiveLoad[max] effectiveLoad[min] load[mean] latency[mean] latency[max] latency[min] 
0.0000 0.0 0.0 NaN NaN NaN NaN NaN NaN NaN NaN
0.0000 0.0 0.0 NaN NaN NaN NaN NaN NaN NaN NaN
10.000 129.0 950.0 0.13579 84.54 99.0 75.0 75.0 3.5194549508754 19.62941482268493 1.1954782183849701
20.000 127.0 950.0 0.13368 83.28 99.0 75.0 75.0 3.602173708521937 25.009800529251315 1.1954782183849701
30.001 125.0 950.0 0.13158 83.28 99.0 75.0 75.0 3.9932688197053228 36.3615980145188 1.1954782183849701
40.000 122.0 950.0 0.12842 83.28 99.0 75.0 75.0 4.214289510147219 48.40942334315416 1.1954782183849701
50.000 117.0 950.0 0.12316 83.28 99.0 75.0 75.0 2.8416639552583587 39.604085222653836 1.1954782183849701
60.000 116.0 950.0 0.12211 83.28 99.0 75.0 75.0 2.5979392859191948 46.864676250285896 1.1954782183849701
70.002 116.0 950.0 0.12211 83.28 99.0 75.0 75.0 2.6907392809762882 57.62947567690871 1.1954782183849701
80.000 117.0 950.0 0.12316 84.06 99.0 75.0 75.0 2.231047339104409 6.456051450054902 1.1954782183849701
90.000 175.0 950.0 0.18421 96.42 99.0 75.0 75.0 3.139429195458656 9.90353421477361 1.1826147404374923
100.00 265.0 950.0 0.27895 97.38 99.0 75.0 75.0 3.544468413106139 10.28665468335764 1.081889346827517
110.00 288.0 950.0 0.30316 97.38 99.0 75.0 75.0 3.78678503045311 10.78420548528922 1.081889346827517
120.00 287.0 950.0 0.30211 97.38 99.0 75.0 75.0 3.800063075222777 10.78420548528922 1.081889346827517
130.00 287.0 950.0 0.30211 97.38 99.0 75.0 75.0 3.800063075222777 10.78420548528922 1.081889346827517
140.00 287.0 950.0 0.30211 97.38 99.0 75.0 75.0 3.800063075222777 10.78420548528922 1.081889346827517
150.00 279.0 950.0 0.29368 97.38 99.0 75.0 75.0 3.775721917245641 10.78420548528922 1.081889346827517
