#####################################################################
# Alchemist log file - simulation started at: 2023-11-22T11:31+0000 #
#####################################################################
#
# random = 4.0, devices = 1000, computationalCost = 1.0, load = 0, network = lobster, behavior = simple
#
# The columns have the following meaning: 
# time canOffload[sum] wantToOffload[sum] qos effectiveLoad[mean] effectiveLoad[max] effectiveLoad[min] load[mean] latency[mean] latency[max] latency[min] 
0.0000 0.0 0.0 NaN NaN NaN NaN NaN NaN NaN NaN
0.0000 0.0 0.0 NaN NaN NaN NaN NaN NaN NaN NaN
10.000 410.0 950.0 0.43158 90.92 100.0 80.0 75.0 1.8983172480058126 8.86400091399941 1.0138087160722096
20.000 722.0 950.0 0.76000 93.8 100.0 80.0 75.0 2.8537322981820856 7.681536079040688 1.0138087160722096
30.000 770.0 950.0 0.81053 93.8 100.0 80.0 75.0 3.11768848204945 16.090009552087277 1.0138087160722096
40.000 768.0 950.0 0.80842 93.8 100.0 80.0 75.0 3.1642614610658217 16.090009552087277 1.0138087160722096
50.000 769.0 950.0 0.80947 93.8 100.0 80.0 75.0 3.2554118752767014 19.495062958386477 1.0138087160722096
60.000 768.0 950.0 0.80842 93.8 100.0 80.0 75.0 3.321454370360642 20.612551348972815 1.0138087160722096
70.000 766.0 950.0 0.80632 93.8 100.0 80.0 75.0 3.3112305886440105 20.612551348972815 1.0138087160722096
80.002 750.0 950.0 0.78947 93.8 100.0 80.0 75.0 3.284218328157877 20.612551348972815 1.0138087160722096
90.001 747.0 950.0 0.78632 93.8 100.0 80.0 75.0 3.238619055238238 20.612551348972815 1.0138087160722096
100.00 747.0 950.0 0.78632 93.8 100.0 80.0 75.0 3.238619055238238 20.612551348972815 1.0138087160722096
110.00 742.0 950.0 0.78105 93.8 100.0 80.0 75.0 3.25839143904416 20.612551348972815 1.0138087160722096
120.00 740.0 950.0 0.77895 93.9 100.0 80.0 75.0 3.2695083990884437 20.612551348972815 1.0138087160722096
130.00 740.0 950.0 0.77895 93.92 100.0 80.0 75.0 3.274994858091406 20.612551348972815 1.0138087160722096
140.00 740.0 950.0 0.77895 93.92 100.0 80.0 75.0 3.274994858091406 20.612551348972815 1.0138087160722096
