#####################################################################
# Alchemist log file - simulation started at: 2023-11-22T11:17+0000 #
#####################################################################
#
# random = 3.0, devices = 1000, computationalCost = 1.0, load = 0, network = barabasi, behavior = advanced
#
# The columns have the following meaning: 
# time canOffload[sum] wantToOffload[sum] qos effectiveLoad[mean] effectiveLoad[max] effectiveLoad[min] load[mean] latency[mean] latency[max] latency[min] 
0.0000 0.0 0.0 NaN NaN NaN NaN NaN NaN NaN NaN
0.0000 0.0 0.0 NaN NaN NaN NaN NaN NaN NaN NaN
10.000 148.0 950.0 0.15579 78.82 99.0 75.0 75.0 3.0624870511562388 19.62941482268493 1.1954782183849701
20.000 136.0 950.0 0.14316 78.1 95.0 75.0 75.0 3.299294192987669 25.009800529251315 1.1954782183849701
30.001 135.0 950.0 0.14211 78.1 95.0 75.0 75.0 3.592571512079008 34.19396687857728 1.1954782183849701
40.000 132.0 950.0 0.13895 78.1 95.0 75.0 75.0 3.592126178000056 48.40942334315416 1.1954782183849701
50.000 129.0 950.0 0.13579 78.1 95.0 75.0 75.0 2.8188322929434046 41.35271242033521 1.1954782183849701
60.000 128.0 950.0 0.13474 78.1 95.0 75.0 75.0 2.574509721851532 46.864676250285896 1.1954782183849701
70.002 128.0 950.0 0.13474 78.1 95.0 75.0 75.0 2.6586097173720225 57.62947567690871 1.1954782183849701
80.000 127.0 950.0 0.13368 78.1 95.0 75.0 75.0 2.225768253123702 6.456051450054902 1.1954782183849701
90.000 127.0 950.0 0.13368 78.1 95.0 75.0 75.0 2.225768253123702 6.456051450054902 1.1954782183849701
100.00 127.0 950.0 0.13368 78.1 95.0 75.0 75.0 2.225768253123702 6.456051450054902 1.1954782183849701
110.00 127.0 950.0 0.13368 78.1 95.0 75.0 75.0 2.225768253123702 6.456051450054902 1.1954782183849701
120.00 125.0 950.0 0.13158 78.1 95.0 75.0 75.0 2.2310305977834943 6.456051450054902 1.1954782183849701
130.00 125.0 950.0 0.13158 78.1 95.0 75.0 75.0 2.2310305977834943 6.456051450054902 1.1954782183849701
140.00 125.0 950.0 0.13158 78.1 95.0 75.0 75.0 2.2310305977834943 6.456051450054902 1.1954782183849701
