#####################################################################
# Alchemist log file - simulation started at: 2023-11-22T11:11+0000 #
#####################################################################
#
# random = 0.0, devices = 1000, computationalCost = 1.0, load = 0, network = barabasi, behavior = simple
#
# The columns have the following meaning: 
# time canOffload[sum] wantToOffload[sum] qos effectiveLoad[mean] effectiveLoad[max] effectiveLoad[min] load[mean] latency[mean] latency[max] latency[min] 
0.0000 0.0 0.0 NaN NaN NaN NaN NaN NaN NaN NaN
0.0000 0.0 0.0 NaN NaN NaN NaN NaN NaN NaN NaN
10.000 496.0 950.0 0.52211 97.76 100.0 82.0 75.0 2.965130720641244 7.443319133456828 0.6975344496456692
20.000 544.0 950.0 0.57263 98.0 100.0 82.0 75.0 3.492804601169635 9.144565007573284 0.6975344496456692
30.001 547.0 950.0 0.57579 98.0 100.0 82.0 75.0 3.5478225018026417 11.548845501653194 0.6975344496456692
40.001 543.0 950.0 0.57158 97.92 100.0 82.0 75.0 3.5549368701853417 11.548845501653194 0.6975344496456692
50.001 538.0 950.0 0.56632 97.94 100.0 83.0 75.0 3.5993614204130315 11.548845501653194 0.6975344496456692
60.000 538.0 950.0 0.56632 97.94 100.0 83.0 75.0 3.5993614204130315 11.548845501653194 0.6975344496456692
70.000 538.0 950.0 0.56632 97.94 100.0 83.0 75.0 3.5993614204130315 11.548845501653194 0.6975344496456692
80.000 530.0 950.0 0.55789 97.92 100.0 82.0 75.0 3.6140554304220203 11.548845501653194 0.6975344496456692
90.001 530.0 950.0 0.55789 97.92 100.0 82.0 75.0 3.6157164344938626 11.548845501653194 0.6975344496456692
100.00 530.0 950.0 0.55789 97.92 100.0 82.0 75.0 3.6157164344938626 11.548845501653194 0.6975344496456692
110.00 527.0 950.0 0.55474 97.92 100.0 82.0 75.0 3.639614822427796 11.548845501653194 0.6975344496456692
120.00 507.0 950.0 0.53368 97.96 100.0 82.0 75.0 3.6269331513462904 11.548845501653194 0.6975344496456692
130.00 513.0 950.0 0.54000 97.96 100.0 82.0 75.0 3.6721854827161953 11.548845501653194 0.6975344496456692
140.00 513.0 950.0 0.54000 97.96 100.0 82.0 75.0 3.6721854827161953 11.548845501653194 0.6975344496456692
