#####################################################################
# Alchemist log file - simulation started at: 2023-11-22T11:17+0000 #
#####################################################################
#
# random = 3.0, devices = 1000, computationalCost = 10.0, load = 0, network = barabasi, behavior = advanced
#
# The columns have the following meaning: 
# time canOffload[sum] wantToOffload[sum] qos effectiveLoad[mean] effectiveLoad[max] effectiveLoad[min] load[mean] latency[mean] latency[max] latency[min] 
0.0000 0.0 0.0 NaN NaN NaN NaN NaN NaN NaN NaN
0.0000 0.0 0.0 NaN NaN NaN NaN NaN NaN NaN NaN
10.000 63.0 950.0 0.066316 91.8 95.0 75.0 75.0 3.4510587747198285 19.62941482268493 1.3692993519440653
20.000 79.0 950.0 0.083158 93.8 95.0 75.0 75.0 4.070872769684226 25.009800529251315 1.3186000190541027
30.001 71.0 950.0 0.074737 95.0 95.0 95.0 75.0 3.786630279221326 18.30573037057467 1.3186000190541027
40.000 76.0 950.0 0.080000 95.0 95.0 95.0 75.0 3.516598032898828 10.922467607259437 1.3692993519440653
50.000 75.0 950.0 0.078947 95.0 95.0 95.0 75.0 3.6895472233872435 10.922467607259437 1.54266536463545
60.000 75.0 950.0 0.078947 95.0 95.0 95.0 75.0 3.6895472233872435 10.922467607259437 1.54266536463545
70.002 75.0 950.0 0.078947 95.0 95.0 95.0 75.0 3.6895472233872435 10.922467607259437 1.54266536463545
80.000 74.0 950.0 0.077895 95.0 95.0 95.0 75.0 3.7245732702747976 10.922467607259437 1.54266536463545
90.000 74.0 950.0 0.077895 95.0 95.0 95.0 75.0 3.7245732702747976 10.922467607259437 1.54266536463545
100.00 74.0 950.0 0.077895 95.0 95.0 95.0 75.0 3.7245732702747976 10.922467607259437 1.54266536463545
110.00 74.0 950.0 0.077895 95.0 95.0 95.0 75.0 3.7245732702747976 10.922467607259437 1.54266536463545
120.00 72.0 950.0 0.075789 95.0 95.0 95.0 75.0 3.802624548567623 10.922467607259437 1.54266536463545
130.00 72.0 950.0 0.075789 95.0 95.0 95.0 75.0 3.802624548567623 10.922467607259437 1.54266536463545
140.00 72.0 950.0 0.075789 95.0 95.0 95.0 75.0 3.802624548567623 10.922467607259437 1.54266536463545
150.00 70.0 950.0 0.073684 95.0 95.0 95.0 75.0 3.7844942040835305 10.922467607259437 1.54266536463545
