#####################################################################
# Alchemist log file - simulation started at: 2023-11-22T11:12+0000 #
#####################################################################
#
# random = 1.0, devices = 1000, computationalCost = 10.0, load = 0, network = lobster, behavior = simple
#
# The columns have the following meaning: 
# time canOffload[sum] wantToOffload[sum] qos effectiveLoad[mean] effectiveLoad[max] effectiveLoad[min] load[mean] latency[mean] latency[max] latency[min] 
0.0000 0.0 0.0 NaN NaN NaN NaN NaN NaN NaN NaN
0.0000 0.0 0.0 NaN NaN NaN NaN NaN NaN NaN NaN
10.002 76.0 950.0 0.080000 95.0 95.0 95.0 75.0 1.76615983246959 6.028575684191766 1.0466884232401417
20.001 81.0 950.0 0.085263 95.0 95.0 95.0 75.0 2.3919416141092054 8.177943752595805 1.054958008086132
30.000 85.0 950.0 0.089474 95.0 95.0 95.0 75.0 2.5771330374034322 9.384377964862534 1.054958008086132
40.000 85.0 950.0 0.089474 95.0 95.0 95.0 75.0 2.6316140039646196 9.384377964862534 1.054958008086132
50.001 85.0 950.0 0.089474 95.0 95.0 95.0 75.0 2.763258948860904 9.861152307662481 1.054958008086132
60.001 85.0 950.0 0.089474 95.0 95.0 95.0 75.0 2.8459364032164065 14.088153535877257 1.054958008086132
70.001 84.0 950.0 0.088421 95.0 95.0 95.0 75.0 2.7640662593661283 16.352864682504585 1.054958008086132
80.001 81.0 950.0 0.085263 95.0 95.0 95.0 75.0 2.6281499652146696 9.384377964862534 1.054958008086132
90.000 83.0 950.0 0.087368 95.0 95.0 95.0 75.0 2.619390565574323 9.384377964862534 1.054958008086132
100.00 83.0 950.0 0.087368 95.0 95.0 95.0 75.0 2.619390565574323 9.384377964862534 1.054958008086132
110.00 82.0 950.0 0.086316 95.0 95.0 95.0 75.0 2.6361354008518805 9.384377964862534 1.054958008086132
120.00 83.0 950.0 0.087368 95.0 95.0 95.0 75.0 2.619565368953727 9.384377964862534 1.054958008086132
130.00 83.0 950.0 0.087368 95.0 95.0 95.0 75.0 2.619565368953727 9.384377964862534 1.054958008086132
140.00 83.0 950.0 0.087368 95.0 95.0 95.0 75.0 2.619565368953727 9.384377964862534 1.054958008086132
150.00 83.0 950.0 0.087368 95.0 95.0 95.0 75.0 2.6769037752406426 9.384377964862534 1.054958008086132
