#####################################################################
# Alchemist log file - simulation started at: 2023-11-22T11:18+0000 #
#####################################################################
#
# random = 3.0, devices = 1000, computationalCost = 10.0, load = 0, network = barabasi, behavior = simple
#
# The columns have the following meaning: 
# time canOffload[sum] wantToOffload[sum] qos effectiveLoad[mean] effectiveLoad[max] effectiveLoad[min] load[mean] latency[mean] latency[max] latency[min] 
0.0000 0.0 0.0 NaN NaN NaN NaN NaN NaN NaN NaN
0.0000 0.0 0.0 NaN NaN NaN NaN NaN NaN NaN NaN
10.000 53.0 950.0 0.055789 95.0 95.0 95.0 75.0 3.0634366010364418 6.748186379858257 1.1950875555255263
20.000 47.0 950.0 0.049474 95.0 95.0 95.0 75.0 3.4499143318177015 6.748186379858257 1.1950875555255263
30.001 53.0 950.0 0.055789 95.0 95.0 95.0 75.0 3.6279278720206927 6.748186379858257 1.1950875555255263
40.000 55.0 950.0 0.057895 95.0 95.0 95.0 75.0 3.607555089352211 6.748186379858257 1.1950875555255263
50.000 50.0 950.0 0.052632 95.0 95.0 95.0 75.0 3.6347269450835937 6.748186379858257 1.1950875555255263
60.000 50.0 950.0 0.052632 95.0 95.0 95.0 75.0 3.6347269450835937 6.748186379858257 1.1950875555255263
70.002 50.0 950.0 0.052632 95.0 95.0 95.0 75.0 3.6347269450835937 6.748186379858257 1.1950875555255263
80.000 49.0 950.0 0.051579 95.0 95.0 95.0 75.0 3.6243484083629998 6.748186379858257 1.1950875555255263
90.000 49.0 950.0 0.051579 95.0 95.0 95.0 75.0 3.6268670584878984 6.748186379858257 1.1950875555255263
100.00 49.0 950.0 0.051579 95.0 95.0 95.0 75.0 3.6268670584878984 6.748186379858257 1.1950875555255263
110.00 49.0 950.0 0.051579 95.0 95.0 95.0 75.0 3.6268670584878984 6.748186379858257 1.1950875555255263
120.00 48.0 950.0 0.050526 95.0 95.0 95.0 75.0 3.6820186483289556 6.748186379858257 1.1950875555255263
130.00 48.0 950.0 0.050526 95.0 95.0 95.0 75.0 3.6820186483289556 6.748186379858257 1.1950875555255263
140.00 48.0 950.0 0.050526 95.0 95.0 95.0 75.0 3.6820186483289556 6.748186379858257 1.1950875555255263
