#####################################################################
# Alchemist log file - simulation started at: 2023-11-22T11:11+0000 #
#####################################################################
#
# random = 0.0, devices = 1000, computationalCost = 10.0, load = 0, network = lobster, behavior = simple
#
# The columns have the following meaning: 
# time canOffload[sum] wantToOffload[sum] qos effectiveLoad[mean] effectiveLoad[max] effectiveLoad[min] load[mean] latency[mean] latency[max] latency[min] 
0.0000 0.0 0.0 NaN NaN NaN NaN NaN NaN NaN NaN
0.0000 0.0 0.0 NaN NaN NaN NaN NaN NaN NaN NaN
10.000 86.0 950.0 0.090526 95.0 95.0 95.0 75.0 1.789554564797131 6.979978123607385 1.0265791833632854
20.000 88.0 950.0 0.092632 95.0 95.0 95.0 75.0 2.2288084236721577 8.29395190830913 1.0504123416638065
30.001 92.0 950.0 0.096842 95.0 95.0 95.0 75.0 2.505831215794842 10.337121351022901 1.0504123416638065
40.001 92.0 950.0 0.096842 95.0 95.0 95.0 75.0 2.552262901410283 11.522651854988343 1.0504123416638065
50.001 90.0 950.0 0.094737 95.0 95.0 95.0 75.0 2.5837170950862784 11.522651854988343 1.0504123416638065
60.000 90.0 950.0 0.094737 95.0 95.0 95.0 75.0 2.5837170950862784 11.522651854988343 1.0504123416638065
70.000 90.0 950.0 0.094737 95.0 95.0 95.0 75.0 2.5837170950862784 11.522651854988343 1.0504123416638065
80.000 90.0 950.0 0.094737 95.0 95.0 95.0 75.0 2.6811902089633133 11.522651854988343 1.0504123416638065
90.001 90.0 950.0 0.094737 95.0 95.0 95.0 75.0 2.8512814244787212 15.124453664264072 1.0504123416638065
100.00 90.0 950.0 0.094737 95.0 95.0 95.0 75.0 2.972636083055612 21.572470733225245 1.0504123416638065
110.00 87.0 950.0 0.091579 95.0 95.0 95.0 75.0 2.617840669578293 11.522651854988343 1.0504123416638065
120.00 88.0 950.0 0.092632 95.0 95.0 95.0 75.0 2.6160622866160668 11.522651854988343 1.0504123416638065
130.00 88.0 950.0 0.092632 95.0 95.0 95.0 75.0 2.6160622866160668 11.522651854988343 1.0504123416638065
140.00 88.0 950.0 0.092632 95.0 95.0 95.0 75.0 2.6160622866160668 11.522651854988343 1.0504123416638065
