#####################################################################
# Alchemist log file - simulation started at: 2023-11-22T11:12+0000 #
#####################################################################
#
# random = 2.0, devices = 1000, computationalCost = 10.0, load = 0, network = barabasi, behavior = advanced
#
# The columns have the following meaning: 
# time canOffload[sum] wantToOffload[sum] qos effectiveLoad[mean] effectiveLoad[max] effectiveLoad[min] load[mean] latency[mean] latency[max] latency[min] 
0.0000 0.0 0.0 NaN NaN NaN NaN NaN NaN NaN NaN
0.0000 0.0 0.0 NaN NaN NaN NaN NaN NaN NaN NaN
10.000 72.0 950.0 0.075789 95.0 95.0 95.0 75.0 2.822645427893596 5.8180739286907635 0.7842192901811216
20.000 78.0 950.0 0.082105 95.0 95.0 95.0 75.0 3.3442733256776345 11.29026928385792 0.7842192901811216
30.001 76.0 950.0 0.080000 95.0 95.0 95.0 75.0 3.2620071061503055 8.634563646504818 0.7842192901811216
40.000 73.0 950.0 0.076842 95.0 95.0 95.0 75.0 3.2484686013881836 8.634563646504818 0.7842192901811216
50.000 75.0 950.0 0.078947 95.0 95.0 95.0 75.0 3.433167945290104 13.184809789334137 0.7842192901811216
60.000 75.0 950.0 0.078947 95.0 95.0 95.0 75.0 3.433167945290104 13.184809789334137 0.7842192901811216
70.001 75.0 950.0 0.078947 95.0 95.0 95.0 75.0 3.433167945290104 13.184809789334137 0.7842192901811216
80.000 74.0 950.0 0.077895 95.0 95.0 95.0 75.0 3.3901872736184253 13.184809789334137 0.7842192901811216
90.000 75.0 950.0 0.078947 95.0 95.0 95.0 75.0 3.428392625100547 13.184809789334137 0.7842192901811216
100.00 75.0 950.0 0.078947 95.0 95.0 95.0 75.0 3.428392625100547 13.184809789334137 0.7842192901811216
110.00 75.0 950.0 0.078947 95.0 95.0 95.0 75.0 3.428392625100547 13.184809789334137 0.7842192901811216
120.00 75.0 950.0 0.078947 95.0 95.0 95.0 75.0 3.4743036183174834 13.184809789334137 0.7842192901811216
130.00 75.0 950.0 0.078947 95.0 95.0 95.0 75.0 3.4743036183174834 13.184809789334137 0.7842192901811216
140.00 75.0 950.0 0.078947 95.0 95.0 95.0 75.0 3.4743036183174834 13.184809789334137 0.7842192901811216
